Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
621540,IT213456,Professional Services,111928 EUR,2018-07-18
819978,FR329083,Beverages and Catering,344047 CAD,2018-07-08
929785,RO657483,Various paper supplies,69906 CAD,2018-07-03
379681,IT754893,Professional Services,56775.6 RON,2018-07-21
184064,RO657483,Beverages and Catering,188779 CAD,2018-07-14
107914,FR329083,Beverages and Catering,69976.8 RON,2018-07-25
117266,RO874232,Waste management services,62450.4 CAD,2018-07-01
238754,RO874232,Professional Services,121800 CAD,2018-07-01
191928,RO874232,Beverages and Catering,94233.6 EUR,2018-07-01
768357,IT754893,Concierge Services,44613.6 USD,2018-07-09
543851,RU567434,Concierge Services,335556 RON,2018-07-10
248824,RO657483,Waste management services,336684 RON,2018-07-06
903048,FR065748,Professional Services,91462.8 EUR,2018-08-04
781826,RO874232,Waste management services,294613 USD,2018-08-16
503136,RO125678,Concierge Services,350356 RON,2018-08-02
472902,RO874232,Beverages and Catering,36336 EUR,2018-08-03
475004,FR453231,Waste management services,125844 EUR,2018-08-17
295257,FR065748,Concierge Services,180701 USD,2018-08-25
275800,RO874232,Beverages and Catering,169896 USD,2018-08-01
864426,DE763212,Professional Services,75201.6 EUR,2018-08-08
549544,DE763212,IT Support,339484 CAD,2018-08-09
547322,RU567434,Professional Services,136992 RON,2018-08-21
524653,RO892123,Professional Services,146215 CAD,2018-08-10
618541,DE763212,Beverages and Catering,228805 EUR,2018-08-01
157345,FR329083,Concierge Services,327164 EUR,2018-08-26
298899,DE987564,Beverages and Catering,145354 CAD,2018-08-23
749869,IT213456,Professional Services,154278 EUR,2018-08-08
889168,RO657483,Beverages and Catering,297130 EUR,2018-08-08
506514,FR453231,IT Support,188311 EUR,2018-09-11
603495,IT754893,Various paper supplies,109498 CAD,2018-09-01
857374,RO892123,Waste management services,217940 RON,2018-09-24
233888,RO212121,Professional Services,208776 RON,2018-09-12
863774,RO125678,IT Support,56991.6 USD,2018-09-16
362769,DE987564,IT Support,164677 USD,2018-09-16
827095,RO892123,Concierge Services,51177.6 CAD,2018-09-18
372025,FR065748,IT Support,150000 RON,2018-09-18
770263,RO657483,Beverages and Catering,61975.2 CAD,2018-09-16
331190,DE763212,Beverages and Catering,196909 RON,2018-10-24
155650,DE325476,IT Support,67576.8 USD,2018-10-23
152780,DE987564,Professional Services,354926 RON,2018-10-13
105515,DE763212,Beverages and Catering,220578 RON,2018-10-16
885084,RO892123,Various paper supplies,108095 RON,2018-10-14
396533,RO125678,IT Support,27546 RON,2018-10-14
334589,FR065748,Waste management services,204095 RON,2018-10-13
757465,RO892123,Concierge Services,160446 EUR,2018-10-22
132104,FR065748,Waste management services,94884 CAD,2018-10-12
959322,RO212121,Waste management services,358704 RON,2018-10-23
582823,RU567434,Waste management services,153556 EUR,2018-10-14
274147,DE325476,Professional Services,10418.4 CAD,2018-10-09
827037,FR329083,Various paper supplies,36723.6 RON,2018-10-28
291983,DE325476,Beverages and Catering,141118 RON,0000-00-00
115963,RO892123,IT Support,272804 USD,2018-10-03
521785,RU567434,Professional Services,96772.8 RON,2018-10-14
219035,DE987564,Various paper supplies,109625 EUR,2018-10-21
277090,RO892123,Various paper supplies,3588 EUR,0000-00-00
414804,RO125678,Various paper supplies,182908 USD,2018-10-26
313142,DE987564,Waste management services,58675.2 USD,2018-11-11
468924,DE763212,Beverages and Catering,181884 RON,2018-11-09
814225,RU567434,Professional Services,240595 EUR,2018-11-09
855376,DE987564,IT Support,291128 USD,2018-11-05
556103,RO125678,Beverages and Catering,86692.8 RON,0000-00-00
336901,FR453231,Beverages and Catering,291322 CAD,2018-11-19
456534,IT754893,Concierge Services,349699 CAD,2018-11-25
171278,DE325476,Various paper supplies,135744 USD,2018-11-13
304310,FR065748,IT Support,86365.2 USD,2018-11-05
160964,FR329083,Professional Services,198572 RON,2018-11-08
170768,RO874232,Professional Services,274291 USD,2018-11-10
251502,RU567434,IT Support,167310 CAD,2018-11-24
101791,DE763212,Various paper supplies,87980.4 RON,2018-11-19
919185,FR329083,Concierge Services,141197 CAD,2018-11-10
429868,DE763212,Professional Services,102828 EUR,2018-12-16
936499,FR329083,Concierge Services,75627.6 USD,2018-12-26
977794,RO874232,IT Support,19738.8 USD,2018-12-27
831359,IT754893,Various paper supplies,255803 USD,2018-12-03
684889,FR065748,Waste management services,8301.6 USD,2018-12-26
132120,IT754893,Concierge Services,296196 RON,2018-12-09
191107,DE325476,IT Support,31090.8 CAD,2018-12-15
676731,RO874232,Various paper supplies,257443 USD,2018-12-12
898646,IT754893,Concierge Services,11396.4 USD,2018-12-28
902639,RO657483,Professional Services,169378 USD,2018-12-07
